Pitot Pressure NPR3.5			Pitot Pressure NPR3.5			Static Pressure NPR3.5 Redigitized 			Static Pressure NPR 3.5	
x	LES_correct		x	PROBE_Correct		x	Liu_LES			
8.5453	3.178					9.6191	1.00139			
8.7088	3.178					9.7735	0.99397			
8.8443	3.0868					9.9569	0.98654			
8.9654	3.0275					10.1596	0.99026			
9.0509	2.9819					10.4011	1.00882			
9.1933	2.9181					10.7196	1.00139			
9.2786	2.9181					11.0769	1.00882			
9.4137	2.9182					11.4823	1.0051			
9.5061	2.9182					11.7816	1.00882			
9.627	2.9091									
9.7124	2.8818									
9.798	2.8179									
9.8337	2.7723									
9.9049	2.7358									
10.0118	2.6857									
10.0903	2.6081									
10.1687	2.5625									
10.3252	2.5398									
10.3892	2.5261									
10.4819	2.4668									
10.5818	2.3528									
10.6959	2.2707									
10.7532	2.1658									
10.8529	2.1247									
10.9597	2.0791									
11.0452	2.0427									
11.2016	2.0427									
11.2726	2.0519									
11.3437	2.0473									
11.4293	1.988									
11.5148	1.9379									
11.5789	1.9014									
11.6146	1.8786									
11.7355	1.8604									
11.7641	1.8102									
11.7999	1.7646									
11.9351	1.7236									
