"Liu Measurement SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR w/wallfunc (X = 5D, Y = 2.3D)"			"Liu Experiment SPL-3.5NPR (X = 5D, Y = 2.3D)"			"Liu LES SPL-3.5NPR w/slipwall (X = 5D, Y = 2.3D)"	
4028.7	122.959		1348.2	126.894		0.125418156	115.6823104		0.290810944	124.2921692		0.165597492	116.6053518
4212.5	124.486		1412	125.951		0.130985644	117.1222615		0.291878305	126.9299638		0.16766219	119.9041134
4489.7	122.963		1479.1	127.37		0.136346259	117.765517		0.293434992	129.0155201		0.170563299	118.2907222
4940	122.713		1549.4	128.788		0.139037456	116.5458288		0.293844224	130.8013773		0.171046879	121.4034525
5332.6	122.207		1607	130.295		0.144822612	114.6848453		0.29483667	131.5646349		0.176811189	116.3410293
5756.4	120.177		1682	133.854		0.147689352	116.9122417		0.297534007	133.8371152		0.178621308	120.4391305
6174.3	119.418		1749.2	138.938		0.149689601	113.8094521		0.300413908	136.897807		0.181841582	118.6107637
6665	118.15		1772.6	145.038		0.150505848	119.0790974		0.303627297	139.4168282		0.188051162	119.6280405
7287	118.915		1838.4	147.213		0.150766519	123.3444684		0.310668301	141.2906704		0.19451968	118.514798
7766	119.172		1867.2	148.631		0.151510951	115.2501007		0.318837085	130.9556558		0.201442141	119.2199767
8277	118.666		1896	146.27		0.151525204	121.4508279		0.318984794	132.5688813		0.207148684	117.8579683
8878	119.177		1925.2	143.909		0.157047628	117.5288979		0.319165882	134.5456505		0.220851466	119.6186366
9463	118.417		1954.9	141.548		0.158420833	119.6892996		0.319322075	136.249762		0.221872735	117.7671957
10280	118.928		1985	139.187		0.162699986	116.5620132		0.319480429	137.9765949		0.224918166	115.8205802
10956	118.93		2015.4	134.465		0.166453235	117.8409721		0.32053548	129.21485		0.22782814	114.3201851
11979	118.68		2015.7	134.456		0.169879101	119.6001265		0.322100429	125.9335275		0.229953655	120.289675
13180	119.191		2046.5	132.577		0.170120063	121.5616121		0.322251752	127.5694744		0.234661218	116.0225966
14502	119.195		2110.4	130.217		0.176591519	117.3375224		0.328416865	123.8419797		0.238191943	118.3455505
15555	119.197		2110.4	130.216		0.178984875	119.229687		0.332538814	122.2961632		0.241044211	121.7696593
17335	119.456		2210.3	128.329		0.186606127	117.1657362		0.355341194	123.8525189		0.24920253	120.284973
18953	119.459		2314.8	126.442		0.190019254	115.4305942		0.367921731	123.5626736		0.254116876	118.6958721
20987	118.7		2462.2	125.027		0.201071363	115.4520846		0.37392082	125.9096538		0.255531187	117.2036946
23992	118.197		2578.6	123.14		0.209576598	114.2890383		0.392710952	127.9725825		0.260532333	115.8801482
26738	117.439		2742.8	121.725		0.211456599	117.9321784		0.421161666	128.644467		0.262388975	119.8779167
29608	116.172		2828.6	120.309		0.21262475	119.6137117		0.450221066	128.2202099		0.266780628	117.4465709
33206	115.159		2917.6	121.727		0.213646927	116.0214381		0.479647982	126.9678367		0.27294517	118.925402
36305	114.146		3008.7	119.367		0.22313089	119.1651977		0.51144121	125.9725831		0.27803606	121.6253705
39946	112.625		3055.2	117.479		0.224820922	117.387163		0.544756131	124.9154236		0.29955207	121.1548193
44801	111.105		3102.6	117.007		0.232485214	115.8597672		0.580624166	124.5206023		0.302829	133.2535774
48671	110.091		3200.3	118.897		0.239654909	114.8108558		0.599468617	123.2955403		0.303282715	128.3455664
53553	109.078		3250.1	118.425		0.239915259	117.8814462		0.604067447	129.6685771		0.303358514	135.2229658
58924	107.811		3352.3	119.843		0.240774487	115.9786378		0.610704958	127.2412425		0.303414518	129.9815155
65670	106.545		3457	117.483		0.241363017	119.7814994		0.629517259	124.9400149		0.303542786	131.2084716
72250	104.515		3565.4	117.012		0.252357784	118.0100129		0.635178228	122.3794942		0.30362651	123.9829016
79000	104.01		3677.6	118.902		0.255416831	119.6014608		0.667818669	121.4601145		0.303980922	126.2322983
85820	102.997		3911.9	118.432		0.269026343	118.1080804		0.709208773	121.7065378		0.304301299	136.0308651
93830	104.016		4034.2	116.544		0.271127837	115.4409911		0.751074911	122.9140463		0.305282425	137.242798
			4096.8	115.6		0.272192322	119.8888468		0.758439258	121.7232686		0.306266714	138.4547309
			4225.9	118.438		0.272485708	116.286341		0.8079182	120.9883411		0.313479421	139.5308105
			4226	118.435		0.276582098	121.4353626		0.863980211	120.9224482		0.319978922	123.1618461
			4358.1	116.547		0.281149684	116.9220212		0.884103749	120.1371971		0.324078414	136.5215596
			4425.8	116.075		0.281257675	115.6377946		0.926441491	121.1001405		0.324277644	138.9073197
			4635.6	115.605		0.282448317	118.264925		0.95185173	119.9040368		0.324800351	134.2719646
			4781.2	116.078		0.287815056	119.9422606		0.99666005	120.4778324		0.327429402	131.1780955
